wychylenie_mm,a_25,a_20,a_15,a_10,a_5,fed
10,0.021,0.03,0.043,0.067,0.124,0.027
20,0.052,0.067,0.091,0.145,0.283,0.053
30,0.088,0.105,0.14,0.21,0.43,0.08
40,0.112,0.142,0.193,0.28,0.574,0.106
50,0.135,0.183,0.243,0.348,0.72,0.133
60,0.17,0.207,0.283,0.437,0.852,0.159
70,0.196,0.257,0.34,0.5,1.011,0.186
80,0.232,0.292,0.382,0.592,1.174,0.212
90,0.268,0.34,0.44,0.66,1.313,0.239
100,0.297,0.375,0.497,0.75,1.46,0.265
