wychylenie_mm,a_25,a_20,a_15,a_10,a_5,fed
10,0.021,0.031,0.044,0.067,0.136,0.027
20,0.046,0.064,0.089,0.136,0.278,0.053
30,0.072,0.1,0.137,0.209,0.423,0.08
40,0.101,0.136,0.187,0.28,0.568,0.106
50,0.132,0.176,0.237,0.356,0.712,0.133
60,0.164,0.217,0.288,0.433,0.857,0.159
70,0.197,0.259,0.34,0.511,1.007,0.186
80,0.234,0.302,0.393,0.59,1.154,0.212
90,0.273,0.348,0.447,0.671,1.301,0.239
100,0.311,0.394,0.502,0.752,1.451,0.265
